Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	0.905747	0.905747	2
1	1000001	1.51949	1.44183	3
1	2000001	1.36416	1.44183	3
1	3000001	0.822433	1.05601	2
1	4000001	1.09608	1.05601	2
1	5000001	1.02301	1.05601	2
1	6000001	1.05601	1.05601	2
1	7000001	1.37176	1.05601	2
1	8000001	0.966534	0.992648	2
1	9000001	0.859843	0.992648	2
1	10000001	0.972525	0.992648	2
1	11000001	1.0001	0.992648	2
1	12000001	0.996763	0.992648	2
1	13000001	0.855305	0.992648	2
1	14000001	1.16974	0.992648	2
1	15000001	0.793571	0.992648	2
1	16000001	0.817931	0.992648	2
1	17000001	1.12736	0.992648	2
1	18000001	1.07025	0.992648	2
1	19000001	0.938173	0.992648	2
1	20000001	0.871502	0.992648	2
1	21000001	0.68079	0.992648	2
1	22000001	0.91257	0.992648	2
1	23000001	0.756992	0.992648	2
1	24000001	1.08393	0.992648	2
1	25000001	1.05368	0.992648	2
1	26000001	1.08332	0.992648	2
1	27000001	1.29404	0.992648	2
1	28000001	0.978128	0.992648	2
1	29000001	0.772357	0.992648	2
1	30000001	0.793822	0.992648	2
1	31000001	1.29043	0.992648	2
1	32000001	0.755542	0.992648	2
1	33000001	0.992648	0.992648	2
1	34000001	1.0244	0.992648	2
1	35000001	1.06378	0.992648	2
1	36000001	0.958493	0.992648	2
1	37000001	0.975293	0.992648	2
1	38000001	0.95471	0.992648	2
1	39000001	1.06268	0.992648	2
1	40000001	0.992434	0.992648	2
1	41000001	0.708209	0.992648	2
1	42000001	0.891918	0.992648	2
1	43000001	1.11086	0.992648	2
1	44000001	0.963254	0.992648	2
1	45000001	0.993357	0.992648	2
1	46000001	0.89899	0.992648	2
1	47000001	0.834031	0.992648	2
1	48000001	1.12138	0.992648	2
1	49000001	1.20444	0.992648	2
1	50000001	0.994941	0.992648	2
1	51000001	1.0868	0.992648	2
1	52000001	0.841456	0.992648	2
1	53000001	1.14901	0.992648	2
1	54000001	0.885792	0.992648	2
1	55000001	0.854607	0.992648	2
1	56000001	0.821274	0.992648	2
1	57000001	1.2526	0.992648	2
1	58000001	0.999313	0.992648	2
1	59000001	1.19553	0.992648	2
1	60000001	0.787832	0.992648	2
1	61000001	1.01582	0.992648	2
1	62000001	0.676674	0.992648	2
1	63000001	1.09813	0.992648	2
1	64000001	1.03322	0.992648	2
1	65000001	1.08986	0.992648	2
1	66000001	0.905845	0.992648	2
1	67000001	0.968965	0.992648	2
1	68000001	0.835122	0.992648	2
1	69000001	1.12634	0.992648	2
1	70000001	1.06558	0.992648	2
1	71000001	1.16567	0.992648	2
1	72000001	1.01864	0.992648	2
1	73000001	0.992663	0.992648	2
1	74000001	0.993642	0.992648	2
1	75000001	0.856011	0.992648	2
1	76000001	1.18791	0.992648	2
1	77000001	1.06904	0.992648	2
1	78000001	0.940388	0.992648	2
1	79000001	1.55842	1.2935	3
1	80000001	1.1406	1.2935	3
1	81000001	1.28778	1.2935	3
1	82000001	1.29923	1.2935	3
1	83000001	0.904413	0.993023	2
1	84000001	1.17796	0.993023	2
1	85000001	1.08671	0.993023	2
1	86000001	0.985607	0.993023	2
1	87000001	0.993023	0.993023	2
1	88000001	0.868171	0.993023	2
1	89000001	0.949775	0.993023	2
1	90000001	1.15061	0.993023	2
1	91000001	0.981572	0.993023	2
1	92000001	1.02569	0.993023	2
1	93000001	0.960305	0.993023	2
1	94000001	0.901759	0.993023	2
1	95000001	1.03013	0.993023	2
1	96000001	0.91839	0.993023	2
1	97000001	0.711583	0.993023	2
1	98000001	1.32579	0.993023	2
1	99000001	1.03022	0.993023	2
1	100000001	0.852639	0.993023	2
1	101000001	1.12474	0.993023	2
1	102000001	1.34814	0.993023	2
1	103000001	0.643486	0.993023	2
1	104000001	0.960813	0.993023	2
1	105000001	1.09028	0.993023	2
1	106000001	1.00404	0.993023	2
1	107000001	1.10213	0.993023	2
1	108000001	1.13964	0.993023	2
1	109000001	1.06086	0.993023	2
1	110000001	0.992325	0.993023	2
1	111000001	0.866211	0.993023	2
1	112000001	0.847957	0.993023	2
1	113000001	1.18403	0.993023	2
1	114000001	0.892223	0.993023	2
1	115000001	0.773478	0.993023	2
1	116000001	1.03531	0.993023	2
1	117000001	1.16886	0.993023	2
1	118000001	0.836921	0.993023	2
1	119000001	1.09668	0.993023	2
1	120000001	1.22006	1.22006	2
1	121000001	1.47891	1.22006	2
1	122000001	1.27177	1.22006	2
1	123000001	1.07793	1.22006	2
1	124000001	1.07125	1.22006	2
1	125000001	2.01089	-1	2
1	126000001	-1	-1	2
1	127000001	-1	-1	2
1	128000001	-1	-1	2
1	129000001	-1	-1	2
1	130000001	-1	-1	2
1	131000001	-1	-1	2
1	132000001	-1	-1	2
1	133000001	-1	-1	2
1	134000001	-1	-1	2
1	135000001	-1	-1	2
1	136000001	-1	-1	2
1	137000001	-1	-1	2
1	138000001	-1	-1	2
1	139000001	-1	-1	2
1	140000001	-1	-1	2
1	141000001	-1	-1	2
1	142000001	-1	-1	2
1	143000001	1.84946	-1	2
1	144000001	1.05161	1.0275	2
1	145000001	0.947894	1.0275	2
1	146000001	1.05185	1.0275	2
1	147000001	1.08565	1.0275	2
1	148000001	1.07832	1.0275	2
1	149000001	1.04285	1.0275	2
1	150000001	1.00977	1.0275	2
1	151000001	1.12131	1.0275	2
1	152000001	0.712277	1.0275	2
1	153000001	1.0898	1.0275	2
1	154000001	1.02192	1.0275	2
1	155000001	1.02665	1.0275	2
1	156000001	0.999548	1.0275	2
1	157000001	1.26126	1.0275	2
1	158000001	1.08159	1.0275	2
1	159000001	0.956248	1.0275	2
1	160000001	0.84056	1.0275	2
1	161000001	1.06175	1.0275	2
1	162000001	1.11173	1.0275	2
1	163000001	0.92668	1.0275	2
1	164000001	0.88462	1.0275	2
1	165000001	0.891113	1.0275	2
1	166000001	1.05034	1.0275	2
1	167000001	1.02834	1.0275	2
1	168000001	0.946606	1.0275	2
1	169000001	1.15516	1.0275	2
1	170000001	0.853751	1.0275	2
1	171000001	0.982794	1.0275	2
1	172000001	1.11356	1.0275	2
1	173000001	1.04057	1.0275	2
1	174000001	0.997442	1.0275	2
1	175000001	1.16656	1.0275	2
1	176000001	0.826046	1.0275	2
1	177000001	1.14987	1.0275	2
1	178000001	0.907448	1.0275	2
1	179000001	0.738199	1.0275	2
1	180000001	1.0757	1.11897	2
1	181000001	1.21588	1.11897	2
1	182000001	1.25199	1.11897	2
1	183000001	1.14687	1.11897	2
1	184000001	1.07528	1.11897	2
1	185000001	1.10206	1.11897	2
1	186000001	1.11886	1.11897	2
1	187000001	1.0495	1.11897	2
1	188000001	0.907599	1.11897	2
1	189000001	1.49272	1.11897	2
1	190000001	1.16604	1.11897	2
1	191000001	1.15257	1.11897	2
1	192000001	1.17784	1.11897	2
1	193000001	1.15117	1.11897	2
1	194000001	1.04086	1.11897	2
1	195000001	1.14057	1.11897	2
1	196000001	1.02686	1.11897	2
1	197000001	0.921145	1.11897	2
1	198000001	1.08505	1.11897	2
1	199000001	1.11897	1.11897	2
1	200000001	1.21131	1.11897	2
1	201000001	1.02001	1.11897	2
1	202000001	1.18732	1.11897	2
1	203000001	1.00141	1.11897	2
1	204000001	1.13278	1.11897	2
1	205000001	0.933144	1.01165	2
1	206000001	0.880598	1.01165	2
1	207000001	0.92612	1.01165	2
1	208000001	1.08349	1.01165	2
1	209000001	1.21929	1.01165	2
1	210000001	1.12265	1.01165	2
1	211000001	0.850174	1.01165	2
1	212000001	1.05847	1.01165	2
1	213000001	0.947701	1.01165	2
1	214000001	0.895099	1.01165	2
1	215000001	0.986076	1.01165	2
1	216000001	1.19817	1.01165	2
1	217000001	0.956889	1.01165	2
1	218000001	1.35326	1.01165	2
1	219000001	0.945123	1.01165	2
1	220000001	0.911851	1.01165	2
1	221000001	1.0823	1.01165	2
1	222000001	1.00325	1.01165	2
1	223000001	1.16408	1.01165	2
1	224000001	1.12908	1.01165	2
1	225000001	1.02492	1.01165	2
1	226000001	1.25307	1.01165	2
1	227000001	0.919443	1.01165	2
1	228000001	1.08083	1.01165	2
1	229000001	0.989869	1.01165	2
1	230000001	0.945097	1.01165	2
1	231000001	0.963011	1.01165	2
1	232000001	0.913837	1.01165	2
1	233000001	1.14396	1.01165	2
1	234000001	1.05077	1.01165	2
1	235000001	0.987278	1.01165	2
1	236000001	0.942768	1.01165	2
1	237000001	1.34031	1.01165	2
1	238000001	1.17762	1.01165	2
1	239000001	1.01579	1.01165	2
1	240000001	1.29264	1.01165	2
1	241000001	1.07791	1.01165	2
1	242000001	1.1042	1.01165	2
1	243000001	0.977197	1.01165	2
1	244000001	0.84382	1.01165	2
1	245000001	1.0075	1.01165	2
1	246000001	0.962751	1.01165	2
1	247000001	1.02784	1.01165	2
1	248000001	1.06637	1.01165	2
10	1	0.994301	0.994928	2
10	1000001	1.02907	0.994928	2
10	2000001	0.732432	0.994928	2
10	3000001	1.14917	0.994928	2
10	4000001	1.16088	0.994928	2
10	5000001	1.17949	0.994928	2
10	6000001	1.02824	0.994928	2
10	7000001	0.870514	0.994928	2
10	8000001	1.04839	0.994928	2
10	9000001	0.996336	0.994928	2
10	10000001	0.881279	0.994928	2
10	11000001	1.12229	0.994928	2
10	12000001	1.08599	0.994928	2
10	13000001	1.07194	0.994928	2
10	14000001	1.43597	0.994928	2
10	15000001	0.987386	0.994928	2
10	16000001	1.26301	0.994928	2
10	17000001	1.06626	0.994928	2
10	18000001	0.946782	0.994928	2
10	19000001	0.799567	0.994928	2
10	20000001	1.07376	0.994928	2
10	21000001	1.06716	0.994928	2
10	22000001	0.831124	0.994928	2
10	23000001	1.23381	0.994928	2
10	24000001	1.24263	0.994928	2
10	25000001	1.11192	0.994928	2
10	26000001	0.99309	0.994928	2
10	27000001	0.896429	0.994928	2
10	28000001	0.995038	0.994928	2
10	29000001	0.990728	0.994928	2
10	30000001	0.615742	0.994928	2
10	31000001	1.10811	0.994928	2
10	32000001	0.920742	0.994928	2
10	33000001	0.968705	0.994928	2
10	34000001	0.846771	0.994928	2
10	35000001	1.00392	0.994928	2
10	36000001	1.18552	0.994928	2
10	37000001	1.17062	0.994928	2
10	38000001	1.05544	0.994928	2
10	39000001	0.881837	0.994928	2
10	40000001	1.38807	0.994928	2
10	41000001	0.788134	0.994928	2
10	42000001	1.28785	0.994928	2
10	43000001	1.06403	0.994928	2
10	44000001	0.804473	0.994928	2
10	45000001	0.893903	0.994928	2
10	46000001	0.960245	0.994928	2
10	47000001	0.968436	0.994928	2
10	48000001	1.15632	0.994928	2
10	49000001	1.06628	0.994928	2
10	50000001	0.906142	0.994928	2
10	51000001	0.903425	0.994928	2
10	52000001	1.04881	0.994928	2
10	53000001	0.996463	0.994928	2
10	54000001	0.872324	0.994928	2
10	55000001	0.895681	0.994928	2
10	56000001	1.03834	0.994928	2
10	57000001	1.01203	0.994928	2
10	58000001	0.798245	0.994928	2
10	59000001	1.06894	0.994928	2
10	60000001	0.932117	0.994928	2
10	61000001	1.07515	0.994928	2
10	62000001	1.26272	0.994928	2
10	63000001	1.01078	0.994928	2
10	64000001	1.12778	0.994928	2
10	65000001	0.977134	0.994928	2
10	66000001	1.16245	0.994928	2
10	67000001	0.893644	0.994928	2
10	68000001	0.997245	0.994928	2
10	69000001	0.909996	0.994928	2
10	70000001	0.978387	0.994928	2
10	71000001	0.942744	0.994928	2
10	72000001	0.890225	0.994928	2
10	73000001	0.994818	0.994928	2
10	74000001	0.902545	0.994928	2
10	75000001	0.983797	0.994928	2
10	76000001	0.991406	0.994928	2
10	77000001	0.981445	0.994928	2
10	78000001	0.713209	0.994928	2
10	79000001	1.05306	0.994928	2
10	80000001	0.921048	0.994928	2
10	81000001	0.880966	0.994928	2
10	82000001	1.14516	0.994928	2
10	83000001	1.25754	0.994928	2
10	84000001	0.926506	0.994928	2
10	85000001	0.844731	0.994928	2
10	86000001	0.959538	0.994928	2
10	87000001	1.0787	0.994928	2
10	88000001	1.18109	0.994928	2
10	89000001	0.991677	0.994928	2
10	90000001	0.967285	0.994928	2
10	91000001	0.815485	0.994928	2
10	92000001	1.0417	0.994928	2
10	93000001	0.958938	0.994928	2
10	94000001	1.15719	0.994928	2
10	95000001	1.02425	0.994928	2
10	96000001	1.1427	0.994928	2
10	97000001	1.03439	0.994928	2
10	98000001	1.39108	0.994928	2
10	99000001	0.930628	0.994928	2
10	100000001	0.885175	0.994928	2
10	101000001	1.06562	0.994928	2
10	102000001	0.849759	0.994928	2
10	103000001	1.01434	0.994928	2
10	104000001	1.10331	0.994928	2
10	105000001	1.0532	0.994928	2
10	106000001	0.841941	0.994928	2
10	107000001	1.34357	0.994928	2
10	108000001	0.804232	0.994928	2
10	109000001	0.942367	0.994928	2
10	110000001	0.989843	0.994928	2
10	111000001	1.08952	0.994928	2
10	112000001	1.23338	0.994928	2
10	113000001	0.88886	0.994928	2
10	114000001	0.96121	0.994928	2
10	115000001	1.05072	0.994928	2
10	116000001	0.869724	0.994928	2
10	117000001	0.955925	0.994928	2
10	118000001	1.19234	1.13016	2
10	119000001	1.18399	1.13016	2
10	120000001	1.00719	1.13016	2
10	121000001	1.31368	1.13016	2
10	122000001	1.23093	1.13016	2
10	123000001	0.877448	1.13016	2
10	124000001	1.07634	1.13016	2
10	125000001	0.871489	1.13016	2
10	126000001	2.28716	2.28716	5
10	127000001	0.937922	0.99171	2
10	128000001	1.08414	0.99171	2
10	129000001	0.99171	0.99171	2
10	130000001	1.1392	0.99171	2
10	131000001	0.956076	0.99171	2
10	132000001	0.852862	0.99171	2
10	133000001	1.66806	0.99171	2
11	1	1.05268	1.00574	2
11	1000001	0.987569	1.00574	2
11	2000001	0.809863	1.00574	2
11	3000001	0.855379	1.00574	2
11	4000001	0.983403	1.00574	2
11	5000001	1.20136	1.00574	2
11	6000001	1.00574	1.00574	2
11	7000001	1.04484	1.00574	2
11	8000001	1.28065	1.00574	2
11	9000001	0.797241	1.00574	2
11	10000001	1.04352	1.00574	2
11	11000001	2.00475	2.00475	4
11	12000001	0.867029	1.10461	2
11	13000001	1.10461	1.10461	2
11	14000001	1.13718	1.10461	2
11	15000001	0.99981	1.10461	2
11	16000001	1.24897	1.10461	2
11	17000001	1.20014	1.10461	2
11	18000001	0.996672	1.10461	2
11	19000001	0.952466	1.10461	2
11	20000001	1.02614	1.10461	2
11	21000001	1.17405	1.10461	2
11	22000001	1.15484	1.10461	2
11	23000001	0.865529	0.90904	2
11	24000001	0.90904	0.90904	2
11	25000001	0.821782	0.90904	2
11	26000001	0.954734	0.90904	2
11	27000001	0.996993	0.90904	2
11	28000001	1.27528	1.26722	3
11	29000001	1.25916	1.26722	3
11	30000001	1.00228	1.00095	2
11	31000001	0.894297	1.00095	2
11	32000001	0.897367	1.00095	2
11	33000001	0.950408	1.00095	2
11	34000001	1.05676	1.00095	2
11	35000001	1.02799	1.00095	2
11	36000001	0.981988	1.00095	2
11	37000001	0.99961	1.00095	2
11	38000001	0.987411	1.00095	2
11	39000001	0.922252	1.00095	2
11	40000001	0.994671	1.00095	2
11	41000001	1.03787	1.00095	2
11	42000001	0.929813	1.00095	2
11	43000001	1.08747	1.00095	2
11	44000001	0.821907	1.00095	2
11	45000001	0.962622	1.00095	2
11	46000001	1.11324	1.00095	2
11	47000001	1.10899	1.00095	2
11	48000001	0.936111	1.00095	2
11	49000001	1.13726	1.00095	2
11	50000001	1.05721	1.00095	2
11	51000001	0.956236	1.00095	2
11	52000001	1.05991	1.00095	2
11	53000001	1.02627	1.00095	2
11	54000001	1.01982	1.00095	2
11	55000001	0.967303	1.00095	2
11	56000001	1.14424	1.00095	2
11	57000001	0.75954	1.00095	2
11	58000001	0.972049	1.00095	2
11	59000001	1.04141	1.00095	2
11	60000001	1.02264	1.00095	2
11	61000001	1.13659	1.00095	2
11	62000001	0.965459	1.00095	2
11	63000001	0.906808	1.00095	2
11	64000001	0.925044	1.00095	2
11	65000001	1.01507	1.00095	2
