Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	1.54956	1.64861	5
1	1000001	1.64861	1.64861	5
1	2000001	1.956	1.64861	5
1	3000001	1.44806	1.40797	4
1	4000001	1.30669	1.40797	4
1	5000001	1.2056	1.40797	4
1	6000001	1.4518	1.40797	4
1	7000001	1.75442	1.40797	4
1	8000001	1.28665	1.40797	4
1	9000001	1.49132	1.40797	4
1	10000001	1.40092	1.40797	4
1	11000001	1.40797	1.40797	4
1	12000001	1.24817	1.30269	4
1	13000001	1.3338	1.30269	4
1	14000001	1.24099	1.30269	4
1	15000001	1.25259	1.30269	4
1	16000001	1.35424	1.30269	4
1	17000001	1.39747	1.30269	4
1	18000001	1.3448	1.30269	4
1	19000001	1.2799	1.30269	4
1	20000001	1.35525	1.30269	4
1	21000001	1.27564	1.30269	4
1	22000001	1.39983	1.30269	4
1	23000001	1.24397	1.30269	4
1	24000001	1.36225	1.30269	4
1	25000001	1.3788	1.30269	4
1	26000001	1.27343	1.30269	4
1	27000001	1.31433	1.30269	4
1	28000001	1.30735	1.30269	4
1	29000001	1.32992	1.30269	4
1	30000001	1.38683	1.30269	4
1	31000001	1.35405	1.30269	4
1	32000001	1.30796	1.30269	4
1	33000001	1.2663	1.30269	4
1	34000001	1.21736	1.30269	4
1	35000001	1.28042	1.30269	4
1	36000001	1.30269	1.30269	4
1	37000001	1.22722	1.30269	4
1	38000001	1.26301	1.30269	4
1	39000001	1.26795	1.30269	4
1	40000001	1.21726	1.30269	4
1	41000001	1.36306	1.30269	4
1	42000001	1.21834	1.30269	4
1	43000001	1.34549	1.30269	4
1	44000001	1.49827	1.30269	4
1	45000001	1.31929	1.30269	4
1	46000001	1.2365	1.30269	4
1	47000001	1.31899	1.30269	4
1	48000001	1.15387	1.30269	4
1	49000001	1.07048	1.30269	4
1	50000001	1.14909	1.30269	4
1	51000001	1.38426	1.30269	4
1	52000001	1.16737	1.30269	4
1	53000001	1.33003	1.30269	4
1	54000001	1.26973	1.30269	4
1	55000001	0.966762	0.893936	3
1	56000001	0.932926	0.893936	3
1	57000001	0.861878	0.893936	3
1	58000001	0.933501	0.893936	3
1	59000001	0.891116	0.893936	3
1	60000001	0.906179	0.893936	3
1	61000001	0.930635	0.893936	3
1	62000001	0.963216	0.893936	3
1	63000001	0.896047	0.893936	3
1	64000001	0.91265	0.893936	3
1	65000001	0.943527	0.893936	3
1	66000001	0.931348	0.893936	3
1	67000001	0.970222	0.893936	3
1	68000001	0.940209	0.893936	3
1	69000001	0.864486	0.893936	3
1	70000001	0.872226	0.893936	3
1	71000001	0.895409	0.893936	3
1	72000001	0.814846	0.893936	3
1	73000001	0.795177	0.893936	3
1	74000001	0.847811	0.893936	3
1	75000001	0.899714	0.893936	3
1	76000001	0.896191	0.893936	3
1	77000001	0.87831	0.893936	3
1	78000001	0.951886	0.893936	3
1	79000001	0.877904	0.893936	3
