Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	0.235294	0.235294	1
1	1000001	1.21867	1.3085	4
1	2000001	1.20266	1.3085	4
1	3000001	1.22906	1.3085	4
1	4000001	1.2547	1.3085	4
1	5000001	1.27011	1.3085	4
1	6000001	1.33128	1.3085	4
1	7000001	1.26974	1.3085	4
1	8000001	1.31295	1.3085	4
1	9000001	1.22287	1.3085	4
1	10000001	1.29793	1.3085	4
1	11000001	1.29954	1.3085	4
1	12000001	1.38824	1.3085	4
1	13000001	1.25001	1.3085	4
1	14000001	1.30888	1.3085	4
1	15000001	1.31551	1.3085	4
1	16000001	1.08194	1.3085	4
1	17000001	1.2281	1.3085	4
1	18000001	1.21901	1.3085	4
1	19000001	1.28228	1.3085	4
1	20000001	1.30584	1.3085	4
1	21000001	1.33551	1.3085	4
1	22000001	1.2836	1.3085	4
1	23000001	1.30095	1.3085	4
1	24000001	1.26022	1.3085	4
1	25000001	1.34441	1.3085	4
1	26000001	1.33147	1.3085	4
1	27000001	1.30128	1.3085	4
1	28000001	1.37023	1.3085	4
1	29000001	1.32397	1.3085	4
1	30000001	1.33584	1.3085	4
1	31000001	1.35154	1.3085	4
1	32000001	1.32748	1.3085	4
1	33000001	1.28059	1.3085	4
1	34000001	1.25914	1.3085	4
1	35000001	1.3775	1.3085	4
1	36000001	1.30811	1.3085	4
1	37000001	1.29894	1.3085	4
1	38000001	1.32349	1.3085	4
1	39000001	1.32077	1.3085	4
1	40000001	1.34077	1.3085	4
1	41000001	1.25659	1.3085	4
1	42000001	1.3197	1.3085	4
1	43000001	1.32151	1.3085	4
1	44000001	1.33694	1.3085	4
1	45000001	1.39003	1.3085	4
1	46000001	1.37886	1.3085	4
1	47000001	1.42186	1.3085	4
1	48000001	1.28129	1.3085	4
1	49000001	1.28277	1.3085	4
1	50000001	1.37204	1.3085	4
1	51000001	1.39516	1.3085	4
1	52000001	1.37788	1.3085	4
1	53000001	1.33445	1.3085	4
1	54000001	1.24227	1.3085	4
1	55000001	1.02331	0.994879	3
1	56000001	0.961083	0.994879	3
1	57000001	0.960354	0.994879	3
1	58000001	0.990639	0.994879	3
1	59000001	0.978759	0.994879	3
1	60000001	1.06746	0.994879	3
1	61000001	1.07342	0.994879	3
1	62000001	0.977009	0.994879	3
1	63000001	0.982815	0.994879	3
1	64000001	1.05091	0.994879	3
1	65000001	1.14521	0.994879	3
1	66000001	0.996981	0.994879	3
1	67000001	1.09875	0.994879	3
1	68000001	1.03115	0.994879	3
1	69000001	1.06064	0.994879	3
1	70000001	1.06733	0.994879	3
1	71000001	1.00326	0.994879	3
1	72000001	0.981457	0.994879	3
1	73000001	0.955554	0.994879	3
1	74000001	0.947118	0.994879	3
1	75000001	1.08172	0.994879	3
1	76000001	0.981939	0.994879	3
1	77000001	1.03052	0.994879	3
1	78000001	0.974373	0.994879	3
1	79000001	0.920198	0.994879	3
1	80000001	0.937889	0.994879	3
1	81000001	0.896813	0.994879	3
1	82000001	0.916401	0.994879	3
1	83000001	0.957285	0.994879	3
1	84000001	1.02953	0.994879	3
1	85000001	1.01957	0.994879	3
1	86000001	1.05808	0.994879	3
1	87000001	0.992776	0.994879	3
1	88000001	1.02494	0.994879	3
1	89000001	1.09662	0.994879	3
1	90000001	1.09429	0.994879	3
1	91000001	1.04944	0.994879	3
1	92000001	1.05884	0.994879	3
1	93000001	1.04762	0.994879	3
1	94000001	1.00689	0.994879	3
1	95000001	1.07322	0.994879	3
1	96000001	0.970367	0.994879	3
1	97000001	0.966569	0.994879	3
1	98000001	0.969252	0.994879	3
1	99000001	1.06456	0.994879	3
1	100000001	1.10417	0.994879	3
1	101000001	0.95515	0.994879	3
1	102000001	0.944251	0.994879	3
1	103000001	0.943887	0.994879	3
1	104000001	0.937845	0.994879	3
1	105000001	0.959596	0.994879	3
1	106000001	0.990815	0.994879	3
1	107000001	1.26657	1.35193	4
1	108000001	1.48921	1.35193	4
1	109000001	1.39518	1.35193	4
1	110000001	1.33263	1.35193	4
1	111000001	1.29711	1.35193	4
1	112000001	1.35193	1.35193	4
1	113000001	1.40969	1.35193	4
