Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	1.19624	1.19624	4
1	1000001	1.75291	2.01212	6
1	2000001	2.27132	2.01212	6
1	3000001	1.52474	1.36495	4
1	4000001	1.26549	1.36495	4
1	5000001	1.14657	1.36495	4
1	6000001	1.51868	1.36495	4
1	7000001	1.40434	1.36495	4
1	8000001	1.22207	1.36495	4
1	9000001	1.47616	1.36495	4
1	10000001	1.44383	1.36495	4
1	11000001	1.53162	1.36495	4
1	12000001	1.27817	1.36495	4
1	13000001	1.38559	1.36495	4
1	14000001	1.55877	1.36495	4
1	15000001	1.35844	1.36495	4
1	16000001	1.43726	1.36495	4
1	17000001	1.41543	1.36495	4
1	18000001	1.27635	1.36495	4
1	19000001	1.45631	1.36495	4
1	20000001	1.19174	1.36495	4
1	21000001	1.29106	1.36495	4
1	22000001	1.57421	1.36495	4
1	23000001	1.31365	1.36495	4
1	24000001	1.0886	1.36495	4
1	25000001	1.58951	1.36495	4
1	26000001	1.24745	1.36495	4
1	27000001	1.22614	1.36495	4
1	28000001	1.79159	1.36495	4
1	29000001	1.39414	1.36495	4
1	30000001	1.30313	1.36495	4
1	31000001	1.35283	1.36495	4
1	32000001	1.11023	1.36495	4
1	33000001	1.32079	1.36495	4
1	34000001	1.43016	1.36495	4
1	35000001	1.67505	1.36495	4
1	36000001	1.31911	1.36495	4
1	37000001	1.54482	1.36495	4
1	38000001	1.14081	1.36495	4
1	39000001	1.49567	1.36495	4
1	40000001	1.23696	1.36495	4
1	41000001	1.41015	1.36495	4
1	42000001	1.3704	1.36495	4
1	43000001	1.39749	1.36495	4
1	44000001	1.51385	1.36495	4
1	45000001	1.55143	1.36495	4
1	46000001	1.05403	1.36495	4
1	47000001	1.41349	1.36495	4
1	48000001	1.35034	1.36495	4
1	49000001	1.25848	1.36495	4
1	50000001	1.05387	1.36495	4
1	51000001	1.66047	1.36495	4
1	52000001	1.1914	1.36495	4
1	53000001	1.30825	1.36495	4
1	54000001	1.3595	1.36495	4
1	55000001	0.970129	0.937665	3
